date,amount,merchant,category,description,transaction_type
2025-05-29T10:29:33.292856,60.49,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-05-29T13:01:33.292856,25.03,Netflix,subscription,Purchase at Netflix,expense
2025-05-29T18:57:33.292856,178.43,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-05-30T15:20:33.292856,59.74,Chevron,transport,Purchase at Chevron,expense
2025-05-30T21:17:33.292856,96.27,Kroger,grocery,Purchase at Kroger,expense
2025-05-30T23:59:33.292856,52.51,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-05-31T03:41:33.292856,150.2,Best Buy,shopping,Purchase at Best Buy,expense
2025-05-31T06:19:33.292856,88.99,Water Company,utilities,Purchase at Water Company,expense
2025-05-31T08:01:33.292856,331.07,Dentist,healthcare,Purchase at Dentist,expense
2025-05-31T09:05:33.292856,34.88,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-05-31T23:05:33.292856,29.35,Chipotle,restaurant,Purchase at Chipotle,expense
2025-06-01T05:44:33.292856,75.77,Hulu,subscription,Purchase at Hulu,expense
2025-06-01T09:14:33.292856,227.2,Dentist,healthcare,Purchase at Dentist,expense
2025-06-01T12:35:33.292856,1818.09,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-06-01T15:01:33.292856,130.66,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-06-01T17:46:33.292856,31.26,Chipotle,restaurant,Purchase at Chipotle,expense
2025-06-02T07:04:33.292856,1316.72,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-06-02T21:33:33.292856,85.72,Chevron,transport,Purchase at Chevron,expense
2025-06-03T01:26:33.292856,138.18,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-06-03T16:32:33.292856,55.61,Subway,restaurant,Purchase at Subway,expense
2025-06-03T21:09:33.292856,42.97,McDonalds,restaurant,Purchase at McDonalds,expense
2025-06-03T23:27:33.292856,49.0,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-06-04T00:18:33.292856,76.54,Uber,transport,Purchase at Uber,expense
2025-06-04T20:45:33.292856,69.04,Dentist,healthcare,Purchase at Dentist,expense
2025-06-06T14:14:33.292856,135.43,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-06-07T02:52:33.292856,156.94,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-06-08T17:59:33.292856,45.05,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-06-08T19:21:33.292856,16.479573552117053,Netflix,subscription,Netflix monthly subscription,expense
2025-06-08T19:21:33.292856,53.17227756326635,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-06-08T19:21:33.292856,4.811792708670489,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-06-08T20:01:33.292856,31.89,Spotify,subscription,Purchase at Spotify,expense
2025-06-09T19:21:33.292856,14.915816827257633,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-06-09T19:21:33.292856,13.38984339094402,Hulu,subscription,Hulu monthly subscription,expense
2025-06-09T19:21:33.292856,89.24347215580708,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-06-10T10:02:33.292856,315.71,Walgreens,healthcare,Purchase at Walgreens,expense
2025-06-10T14:40:33.292856,307.92,Public Transit,transport,Purchase at Public Transit,expense
2025-06-10T14:58:33.292856,380.0,Best Buy,shopping,Purchase at Best Buy,expense
2025-06-10T15:10:33.292856,38.68,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-06-10T19:21:33.292856,10.051852103709894,Spotify,subscription,Spotify monthly subscription,expense
2025-06-10T19:21:33.292856,7.491634497561902,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-06-10T19:21:33.292856,150.41311695428584,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-06-10T23:00:33.292856,62.76,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-06-11T05:08:33.292856,21.0,Hulu,subscription,Purchase at Hulu,expense
2025-06-11T19:21:33.292856,40.21416326802177,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-06-12T13:02:33.292856,60.25,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-06-12T16:21:33.292856,48.61,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-06-12T19:21:33.292856,9.576144060191663,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-06-14T08:12:33.292856,107.58,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-06-14T13:07:33.292856,78.5,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-06-14T18:18:33.292856,396.76,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-06-15T02:45:33.292856,30.45,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-06-15T16:28:33.292856,117.93,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-06-16T19:16:33.292856,427.68,Apple Store,shopping,Purchase at Apple Store,expense
2025-06-16T21:05:33.292856,130.82,Kroger,grocery,Purchase at Kroger,expense
2025-06-16T21:13:33.292856,142.82,Apple Store,shopping,Purchase at Apple Store,expense
2025-06-17T05:17:33.292856,221.47,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-06-17T07:38:33.292856,172.73,Walgreens,healthcare,Purchase at Walgreens,expense
2025-06-18T18:04:33.292856,183.39,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-06-18T18:39:33.292856,151.01,Gas Company,utilities,Purchase at Gas Company,expense
2025-06-18T21:46:33.292856,20.14,Chipotle,restaurant,Purchase at Chipotle,expense
2025-06-19T01:36:33.292856,246.9,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-06-19T07:34:33.292856,319.72,Chevron,transport,Purchase at Chevron,expense
2025-06-19T10:43:33.292856,72.16,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-06-19T20:55:33.292856,136.14,Safeway,grocery,Purchase at Safeway,expense
2025-06-20T20:25:33.292856,93.74,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-06-20T21:32:33.292856,353.84,Lyft,transport,Purchase at Lyft,expense
2025-06-21T06:55:33.292856,44.21,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-06-21T22:04:33.292856,41.4,Hulu,subscription,Purchase at Hulu,expense
2025-06-22T05:08:33.292856,142.86,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-06-22T05:11:33.292856,87.39,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-06-22T07:31:33.292856,22.01,Spotify,subscription,Purchase at Spotify,expense
2025-06-23T18:07:33.292856,36.16,GitHub Pro,subscription,Purchase at GitHub Pro,expense
2025-06-25T05:45:33.292856,90.09,Lyft,transport,Purchase at Lyft,expense
2025-06-25T12:29:33.292856,368.97,Home Depot,shopping,Purchase at Home Depot,expense
2025-06-25T17:47:33.292856,441.17,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-06-25T19:21:33.292856,4709.847694527793,Employer Inc,income,Monthly salary,income
2025-06-26T01:25:33.292856,116.16,Apple Store,shopping,Purchase at Apple Store,expense
2025-06-26T06:34:33.292856,282.45,Water Company,utilities,Purchase at Water Company,expense
2025-06-26T15:36:33.292856,70.32,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-06-27T01:57:33.292856,69.31,Public Transit,transport,Purchase at Public Transit,expense
2025-06-27T17:31:33.292856,151.39,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-06-27T17:38:33.292856,212.24,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-06-27T19:26:33.292856,48.98,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-06-27T20:24:33.292856,63.7,Steam Games,entertainment,Purchase at Steam Games,expense
2025-06-28T21:51:33.292856,370.5,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-06-29T00:29:33.292856,70.78,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-07-01T17:59:33.292856,487.46,Walgreens,healthcare,Purchase at Walgreens,expense
2025-07-02T07:56:33.292856,42.33,Chipotle,restaurant,Purchase at Chipotle,expense
2025-07-02T07:57:33.292856,66.88,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-07-02T20:13:33.292856,10.03,Subway,restaurant,Purchase at Subway,expense
2025-07-04T10:15:33.292856,113.23,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-07-06T10:27:33.292856,53.88,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-06T22:51:33.292856,9.17,Chipotle,restaurant,Purchase at Chipotle,expense
2025-07-07T10:21:33.292856,41.2,Starbucks,restaurant,Purchase at Starbucks,expense
2025-07-07T19:05:33.292856,258.21,Dentist,healthcare,Purchase at Dentist,expense
2025-07-07T22:21:33.292856,119.64,Steam Games,entertainment,Purchase at Steam Games,expense
2025-07-08T19:21:33.292856,13.350281590986839,Hulu,subscription,Hulu monthly subscription,expense
2025-07-08T19:21:33.292856,7.668457550406399,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-07-08T22:25:33.292856,170.46,Walgreens,healthcare,Purchase at Walgreens,expense
2025-07-09T01:59:33.292856,10.42,Chevron,transport,Purchase at Chevron,expense
2025-07-09T02:21:33.292856,282.05,Home Depot,shopping,Purchase at Home Depot,expense
2025-07-09T07:54:33.292856,57.36,Safeway,grocery,Purchase at Safeway,expense
2025-07-09T16:00:33.292856,37.71,Steam Games,entertainment,Purchase at Steam Games,expense
2025-07-09T19:21:33.292856,10.393067788912006,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-07-09T22:45:33.292856,79.45,Public Transit,transport,Purchase at Public Transit,expense
2025-07-10T09:10:33.292856,39.32,Starbucks,restaurant,Purchase at Starbucks,expense
2025-07-10T16:26:33.292856,1746.94,Home Depot,shopping,Purchase at Home Depot,expense
2025-07-10T19:21:33.292856,16.271298406952617,Netflix,subscription,Netflix monthly subscription,expense
2025-07-10T19:21:33.292856,89.17368735517384,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-07-10T19:21:33.292856,150.14953876974437,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-07-11T04:34:33.292856,40.21,Steam Games,entertainment,Purchase at Steam Games,expense
2025-07-11T05:23:33.292856,63.38,Uber,transport,Purchase at Uber,expense
2025-07-11T19:21:33.292856,10.424125610954096,Spotify,subscription,Spotify monthly subscription,expense
2025-07-11T19:21:33.292856,14.598257897784569,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-07-11T19:21:33.292856,53.00270983640225,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-07-11T19:21:33.292856,5.245421156415207,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-07-11T19:21:33.292856,39.938270660859956,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-07-11T19:35:33.292856,33.89,Steam Games,entertainment,Purchase at Steam Games,expense
2025-07-11T21:25:33.292856,226.01,Walgreens,healthcare,Purchase at Walgreens,expense
2025-07-12T03:26:33.292856,352.34,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-07-12T15:13:33.292856,1649.74,Amazon,shopping,Purchase at Amazon,expense
2025-07-12T15:20:33.292856,138.14,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-13T00:05:33.292856,116.22,Home Depot,shopping,Purchase at Home Depot,expense
2025-07-13T10:19:33.292856,52.81,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-07-13T19:03:33.292856,49.62,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-07-14T09:19:33.292856,65.69,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-07-15T02:39:33.292856,377.07,Amazon,shopping,Purchase at Amazon,expense
2025-07-15T03:55:33.292856,26.96,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-07-15T11:20:33.292856,55.4,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-07-16T03:40:33.292856,175.33,Walmart,shopping,Purchase at Walmart,expense
2025-07-16T22:20:33.292856,51.63,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-17T06:02:33.292856,107.4,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-17T23:09:33.292856,289.01,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-07-18T01:29:33.292856,133.84,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-07-18T08:37:33.292856,66.32,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-07-18T12:35:33.292856,69.28,Uber,transport,Purchase at Uber,expense
2025-07-19T17:53:33.292856,49.36,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-07-19T20:03:33.292856,88.7,Netflix,subscription,Purchase at Netflix,expense
2025-07-20T00:43:33.292856,96.5,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-07-20T15:05:33.292856,98.15,Hulu,subscription,Purchase at Hulu,expense
2025-07-21T02:28:33.292856,246.84,Water Company,utilities,Purchase at Water Company,expense
2025-07-21T20:48:33.292856,207.51,Amazon,shopping,Purchase at Amazon,expense
2025-07-22T02:34:33.292856,69.15,Water Company,utilities,Purchase at Water Company,expense
2025-07-22T08:21:33.292856,49.28,McDonalds,restaurant,Purchase at McDonalds,expense
2025-07-22T08:37:33.292856,46.09,Lyft,transport,Purchase at Lyft,expense
2025-07-22T12:31:33.292856,421.31,Amazon,shopping,Purchase at Amazon,expense
2025-07-23T13:25:33.292856,38.12,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-07-24T03:03:33.292856,253.7,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-07-24T07:56:33.292856,43.94,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-07-24T16:10:33.292856,111.45,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-07-25T10:42:33.292856,53.52,Lyft,transport,Purchase at Lyft,expense
2025-07-25T12:23:33.292856,18.46,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-07-25T14:27:33.292856,46.98,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-25T15:13:33.292856,135.72,Steam Games,entertainment,Purchase at Steam Games,expense
2025-07-25T19:21:33.292856,5022.36887267417,Employer Inc,income,Monthly salary,income
2025-07-25T23:37:33.292856,12.87,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-07-26T05:47:33.292856,143.04,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-07-27T08:04:33.292856,338.83,Best Buy,shopping,Purchase at Best Buy,expense
2025-07-27T15:43:33.292856,136.92,Dentist,healthcare,Purchase at Dentist,expense
2025-07-28T00:44:33.292856,281.94,Dentist,healthcare,Purchase at Dentist,expense
2025-07-28T08:01:33.292856,39.1,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-07-28T21:25:33.292856,110.57,Gas Company,utilities,Purchase at Gas Company,expense
2025-07-29T00:33:33.292856,66.36,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-07-29T04:15:33.292856,140.47,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-07-30T07:01:33.292856,77.34,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-07-30T14:43:33.292856,41.78,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-07-30T16:07:33.292856,73.54,Chevron,transport,Purchase at Chevron,expense
2025-07-31T12:24:33.292856,49.07,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-07-31T19:24:33.292856,139.76,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-08-01T04:20:33.292856,275.52,Amazon,shopping,Purchase at Amazon,expense
2025-08-01T05:18:33.292856,138.77,Gas Company,utilities,Purchase at Gas Company,expense
2025-08-01T20:25:33.292856,10.06,McDonalds,restaurant,Purchase at McDonalds,expense
2025-08-02T03:58:33.292856,112.96,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-08-02T04:55:33.292856,47.26,Best Buy,shopping,Purchase at Best Buy,expense
2025-08-02T11:07:33.292856,12.73,Chipotle,restaurant,Purchase at Chipotle,expense
2025-08-02T23:07:33.292856,18.83,Public Transit,transport,Purchase at Public Transit,expense
2025-08-03T04:51:33.292856,27.14,McDonalds,restaurant,Purchase at McDonalds,expense
2025-08-03T05:56:33.292856,52.44,Hulu,subscription,Purchase at Hulu,expense
2025-08-03T10:02:33.292856,80.67,Lyft,transport,Purchase at Lyft,expense
2025-08-04T06:41:33.292856,87.8,Steam Games,entertainment,Purchase at Steam Games,expense
2025-08-04T06:58:33.292856,191.68,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-08-04T13:57:33.292856,55.03,Lyft,transport,Purchase at Lyft,expense
2025-08-04T16:22:33.292856,10.53,Hulu,subscription,Purchase at Hulu,expense
2025-08-04T20:42:33.292856,357.93,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-08-05T12:14:33.292856,21.51,Subway,restaurant,Purchase at Subway,expense
2025-08-05T12:35:33.292856,49.8,Best Buy,shopping,Purchase at Best Buy,expense
2025-08-05T22:05:33.292856,41.89,Chipotle,restaurant,Purchase at Chipotle,expense
2025-08-06T02:05:33.292856,458.24,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-08-06T19:38:33.292856,90.08,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-08-07T06:15:33.292856,79.51,Lyft,transport,Purchase at Lyft,expense
2025-08-07T18:44:33.292856,80.52,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-08-07T19:21:33.292856,12.959902737363079,Hulu,subscription,Hulu monthly subscription,expense
2025-08-07T21:32:33.292856,159.64,Apple Store,shopping,Purchase at Apple Store,expense
2025-08-08T08:50:33.292856,109.12,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-08-08T12:12:33.292856,161.45,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-08-08T14:58:33.292856,24.25,Steam Games,entertainment,Purchase at Steam Games,expense
2025-08-08T19:21:33.292856,7.7028378104864395,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-08-08T19:21:33.292856,52.95028395313067,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-08-08T19:21:33.292856,40.39387789635308,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-08-08T19:21:33.292856,10.431316173377068,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-08-08T22:36:33.292856,475.91,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-08-09T00:05:33.292856,51.08,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-08-09T03:30:33.292856,88.9,Uber,transport,Purchase at Uber,expense
2025-08-09T10:26:33.292856,389.59,Walgreens,healthcare,Purchase at Walgreens,expense
2025-08-09T19:21:33.292856,10.109351048837278,Spotify,subscription,Spotify monthly subscription,expense
2025-08-09T19:21:33.292856,88.70551933590696,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-08-09T21:30:33.292856,320.7,Walmart,shopping,Purchase at Walmart,expense
2025-08-10T04:42:33.292856,160.28,Best Buy,shopping,Purchase at Best Buy,expense
2025-08-10T10:37:33.292856,89.47,Chevron,transport,Purchase at Chevron,expense
2025-08-10T13:32:33.292856,42.56,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-08-10T18:59:33.292856,83.55,Netflix,subscription,Purchase at Netflix,expense
2025-08-10T19:21:33.292856,4.5045710498629905,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-08-10T19:21:33.292856,149.90986615498477,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-08-11T03:39:33.292856,30.56,Walgreens,healthcare,Purchase at Walgreens,expense
2025-08-11T07:58:33.292856,47.49,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-08-11T13:25:33.292856,221.35,Dentist,healthcare,Purchase at Dentist,expense
2025-08-11T19:21:33.292856,15.58008361084263,Netflix,subscription,Netflix monthly subscription,expense
2025-08-11T19:21:33.292856,15.486919179007915,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-08-11T19:37:33.292856,55.61,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-08-12T08:00:33.292856,131.46,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-08-12T18:00:33.292856,137.65,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-08-12T19:17:33.292856,97.35,Chevron,transport,Purchase at Chevron,expense
2025-08-12T21:15:33.292856,97.41,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-08-12T21:25:33.292856,157.64,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-08-13T19:23:33.292856,345.13,Dentist,healthcare,Purchase at Dentist,expense
2025-08-14T06:04:33.292856,25.8,Apple Store,shopping,Purchase at Apple Store,expense
2025-08-14T19:49:33.292856,16.23,Subway,restaurant,Purchase at Subway,expense
2025-08-14T21:17:33.292856,351.67,Apple Store,shopping,Purchase at Apple Store,expense
2025-08-15T13:29:33.292856,83.37,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-08-15T16:02:33.292856,15.87,Starbucks,restaurant,Purchase at Starbucks,expense
2025-08-15T19:59:33.292856,25.07,Thai Express,restaurant,Purchase at Thai Express,expense
2025-08-15T23:15:33.292856,122.49,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-08-17T00:22:33.292856,342.31,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-08-17T00:38:33.292856,441.33,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-08-17T21:02:33.292856,29.31,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-08-18T10:15:33.292856,97.01,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-08-19T03:09:33.292856,132.92,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-08-19T06:58:33.292856,362.09,Walgreens,healthcare,Purchase at Walgreens,expense
2025-08-19T09:11:33.292856,74.44,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-08-19T14:13:33.292856,74.18,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-08-19T22:11:33.292856,231.02,Walmart,shopping,Purchase at Walmart,expense
2025-08-20T02:46:33.292856,279.85,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-08-20T18:03:33.292856,214.07,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-08-21T01:57:33.292856,65.81,Public Transit,transport,Purchase at Public Transit,expense
2025-08-22T13:18:33.292856,34.56,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-08-24T10:30:33.292856,71.13,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-08-24T10:55:33.292856,57.48,Uber,transport,Purchase at Uber,expense
2025-08-24T12:27:33.292856,409.26,Walmart,shopping,Purchase at Walmart,expense
2025-08-24T19:21:33.292856,4801.990450627723,Employer Inc,income,Monthly salary,income
2025-08-25T07:18:33.292856,213.3,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
